"'चेन्नई एक्सप्रेस' में दीपिका पादुकोण ने संवादों को खास लहजा दिया है , फिल्म में वह कई बार टूटता है",0
पिछले मैच में वे बाहर बैठे थे लेकिन फीरोजशाह कोटला मैदान की धीमी पिच पर वे उपयोगी हो सकते हैं।,1
अंधाधुंधगोलीबारी में चार लोगों की मौत हो गई।,0
जिसमें इस बीमारी के इलाज तथा इसकी प्रक्रिया को भी सत्यापित किया गया।,1
वो खुद लेखक भी हैं तो कई सारी चीज़ों को बेहतरीन तरीके से तार्किक बना देते हैं,1
मुलाकात के बाद दोनों तरफ के जवानों ने वॉलीबॉल का दोस्ताना मैच खेला।,1
अमित साध ने संवाद और भाषा का अभ्यास नहीं किया है,0
तो वहीं बॉलीवुड के दंबग सलमान खान की तरह वो भी काफी अंधविश्वासी हैं।,1
इससे पहले रोहित का टास जीतना और फिर पारी का आगाज करने के लिये उतरना स्वयं उनके लिये अच्छा नहीं रहा।,0
माँ के बेटे जो सीमा पर लिखते हैं अपने शोणित से समझोतों वाली स्याही से दिल्ली वाले धो देते हैं,0
'रुस्तम’ अलग किस्म की थ्रिलर फिल्म है,1
"डिविलियर्स ने पांच छक्कों से सजी 53 रन की पारी खेली, लेकिन वह टीम को आठ मैचों में पांचवीं और पंजाब के खिलाफ दूसरी हार से बचा नहीं सके",0
पटकथा की रवानी में इन पर आम दर्शक का ज्यादा ध्यान नहीं जाता,0
इससे अन्य मुद्राओं के मुकाबले अमरीकी डॉलर मजबूत होगा।,0
नागपुर रोड पर मंगलवार सुबह करीब सवा 11 बजे हुए एक भयानक हादसा हुआ।,0
मेरा दिल जलता नही सुलगता है ऐ-हयात जब तुम मुस्कुराकर किसी और से बात करते हो,0
एडिटिंग भी शार्प है,1
फिल्म की पैकेजिंग और संगीत इसकी जान है।,1
लोगों ने इस कदर गुस्सा था कि उन्होंने पथराव कर पीसीआर का शीशा तोड़ दिया।,0
फिल्म का गीत-संगीत बेहतर है,1
सुजैन मेरे जीवन के लिए मेरा प्यार है और हमेशा रहेगी अगर उसकी मुस्कुराहट मेरे बगैर ज्यादा चमकदार है तो उनके लिए मेरे प्यार को इसे पूरा करना चाहिए।,1
हालांकि इस फोन की बेजल को थोड़ा पतला किया गया है.,0
इंटरवल के बाद फिल्म उलझ जाती है।,0
समय की कमी और इतना मुश्किल काम जल्द करने में असमर्थ रेडक्लिफ़ अपने हाथ खड़े कर देते हैं,0
रॉयल चैलेंजर्स बेंगलूर के खिलाफ बेहतरीन कैच लपकने वाले क्रिस लिन की तारीफों के ट्विटर पर जमकर पुल बांधे जा रहे हैं,1
इस बयान का खंडन किया जा चुका है तथापि खंडन के साथ सहमति बनाने की कांग्रेस की रणनीति से सभी वाकिफ हैं।,1
भाजपा जानबूझकर साम्प्रदायिक रास्ता अपना रही है |,0
"बंपी, बलजीत, ओमकार और ईशिता ने मुंबई और दिल्ली की टिपिकल खूबियों-खामियों को दिलचस्प रंग-रूप प्रदान किए हैं",1
दृश्यों पर संवाद भारी पड़ते हैं और अपना अर्थ खो देते हैं,0
"इसका भारऔर यह किस चीज से बना है, इस बारे में जानकारी नहीं है।",0
फिल्म का आखिरी हिस्सा कमजोर और मुख्य कहानी से अलग है,0
उन्होंने कहा कि बीजेपी हार के डर से बौखलाकर ऐसे आरोप लगा रही है।,0
इनहेलेशन थेरेपी टैबलेट्स और सीरप की अपेक्षा कहीं अधिक प्रभावी है।,1
मेहमानों के न आने से मेरा सारा खाना व्यर्थ हो गया,0
उन्होंने कहा की जाति या समुदाय की राजनीति बेकार है।,0
फिल्म इंडस्ट्री पर बेहिसाब पैसा बरस रहा है।,0
कारण कि ग्रामों में जल स्रोत नहीं है और जिन ग्रामों में जल स्रोत है उनमें से अधिकांश जल स्रोत बंद पड़े हुये है।,0
खबर आग की तरह फैलती जा रही है हलांकि उनके लिए ये कोई नई बात नहीं है।,0
आपको अपने जोखिम लेने की सीमा के बारे में भी उसे बताना चाहिए।,1
वह लट्ठमार बोली बोलता है,0
मोदी के बीसीसीआई से जुड़ते ही उसके रेवेन्यू में जबरदस्त उछाल आया।,1
"लेकिन पृथ्वी पर आने के बाद भूतनाथ को देख लोग डरते नहीं, बल्कि उनका मज़ाक उड़ाने लगत हैं।",0
